COD_DANE,year,poblacion_dane,temp_media_c,prec_anual_mm,proyectos_carbono_co
11001,2001,,,,0
11001,2002,,,,0
11001,2003,,,,0
11001,2004,,,,0
11001,2005,,,,0
11001,2006,,,,0
11001,2007,,,,0
11001,2008,,,,0
11001,2009,,,,0
11001,2010,,,,0
11001,2011,,,,0
11001,2012,,,,0
11001,2013,,,,0
11001,2014,,,,0
11001,2015,,,,0
11001,2016,,,,0
11001,2017,,,,0
11001,2018,,,,0
11001,2019,,,,0
11001,2020,,,,0
11001,2021,,,,0
11001,2022,,,,0
11001,2023,,,,0
11001,2024,,,,0
13001,2001,,,,0
13001,2002,,,,0
13001,2003,,,,0
13001,2004,,,,0
13001,2005,,,,0
13001,2006,,,,0
13001,2007,,,,0
13001,2008,,,,0
13001,2009,,,,0
13001,2010,,,,0
13001,2011,,,,0
13001,2012,,,,0
13001,2013,,,,0
13001,2014,,,,0
13001,2015,,,,0
13001,2016,,,,0
13001,2017,,,,0
13001,2018,,,,0
13001,2019,,,,0
13001,2020,,,,0
13001,2021,,,,0
13001,2022,,,,0
13001,2023,,,,0
13001,2024,,,,0
13006,2001,,,,0
13006,2002,,,,0
13006,2003,,,,0
13006,2004,,,,0
13006,2005,,,,0
13006,2006,,,,0
13006,2007,,,,0
13006,2008,,,,0
13006,2009,,,,0
13006,2010,,,,0
13006,2011,,,,0
13006,2012,,,,0
13006,2013,,,,0
13006,2014,,,,0
13006,2015,,,,0
13006,2016,,,,0
13006,2017,,,,0
13006,2018,,,,0
13006,2019,,,,0
13006,2020,,,,0
13006,2021,,,,0
13006,2022,,,,0
13006,2023,,,,0
13006,2024,,,,0
13030,2001,,,,0
13030,2002,,,,0
13030,2003,,,,0
13030,2004,,,,0
13030,2005,,,,0
13030,2006,,,,0
13030,2007,,,,0
13030,2008,,,,0
13030,2009,,,,0
13030,2010,,,,0
13030,2011,,,,0
13030,2012,,,,0
13030,2013,,,,0
13030,2014,,,,0
13030,2015,,,,0
13030,2016,,,,0
13030,2017,,,,0
13030,2018,,,,0
13030,2019,,,,0
13030,2020,,,,0
13030,2021,,,,0
13030,2022,,,,0
13030,2023,,,,0
13030,2024,,,,0
13042,2001,,,,0
13042,2002,,,,0
13042,2003,,,,0
13042,2004,,,,0
13042,2005,,,,0
13042,2006,,,,0
13042,2007,,,,0
13042,2008,,,,0
13042,2009,,,,0
13042,2010,,,,0
13042,2011,,,,0
13042,2012,,,,0
13042,2013,,,,0
13042,2014,,,,0
13042,2015,,,,0
13042,2016,,,,0
13042,2017,,,,0
13042,2018,,,,0
13042,2019,,,,0
13042,2020,,,,0
13042,2021,,,,0
13042,2022,,,,0
13042,2023,,,,0
13042,2024,,,,0
13052,2001,,,,0
13052,2002,,,,0
13052,2003,,,,0
13052,2004,,,,0
13052,2005,,,,0
13052,2006,,,,0
13052,2007,,,,0
13052,2008,,,,0
13052,2009,,,,0
13052,2010,,,,0
13052,2011,,,,0
13052,2012,,,,0
13052,2013,,,,0
13052,2014,,,,0
13052,2015,,,,0
13052,2016,,,,0
13052,2017,,,,0
13052,2018,,,,0
13052,2019,,,,0
13052,2020,,,,0
13052,2021,,,,0
13052,2022,,,,0
13052,2023,,,,0
13052,2024,,,,0
13062,2001,,,,0
13062,2002,,,,0
13062,2003,,,,0
13062,2004,,,,0
13062,2005,,,,0
13062,2006,,,,0
13062,2007,,,,0
13062,2008,,,,0
13062,2009,,,,0
13062,2010,,,,0
13062,2011,,,,0
13062,2012,,,,0
13062,2013,,,,0
13062,2014,,,,0
13062,2015,,,,0
13062,2016,,,,0
13062,2017,,,,0
13062,2018,,,,0
13062,2019,,,,0
13062,2020,,,,0
13062,2021,,,,0
13062,2022,,,,0
13062,2023,,,,0
13062,2024,,,,0
13074,2001,,,,0
13074,2002,,,,0
13074,2003,,,,0
13074,2004,,,,0
13074,2005,,,,0
13074,2006,,,,0
13074,2007,,,,0
13074,2008,,,,0
13074,2009,,,,0
13074,2010,,,,0
13074,2011,,,,0
13074,2012,,,,0
13074,2013,,,,0
13074,2014,,,,0
13074,2015,,,,0
13074,2016,,,,0
13074,2017,,,,0
13074,2018,,,,0
13074,2019,,,,0
13074,2020,,,,0
13074,2021,,,,0
13074,2022,,,,0
13074,2023,,,,0
13074,2024,,,,0
13140,2001,,,,0
13140,2002,,,,0
13140,2003,,,,0
13140,2004,,,,0
13140,2005,,,,0
13140,2006,,,,0
13140,2007,,,,0
13140,2008,,,,0
13140,2009,,,,0
13140,2010,,,,0
13140,2011,,,,0
13140,2012,,,,0
13140,2013,,,,0
13140,2014,,,,0
13140,2015,,,,0
13140,2016,,,,0
13140,2017,,,,0
13140,2018,,,,0
13140,2019,,,,0
13140,2020,,,,0
13140,2021,,,,0
13140,2022,,,,0
13140,2023,,,,0
13140,2024,,,,0
13160,2001,,,,0
13160,2002,,,,0
13160,2003,,,,0
13160,2004,,,,0
13160,2005,,,,0
13160,2006,,,,0
13160,2007,,,,0
13160,2008,,,,0
13160,2009,,,,0
13160,2010,,,,0
13160,2011,,,,0
13160,2012,,,,0
13160,2013,,,,0
13160,2014,,,,0
13160,2015,,,,0
13160,2016,,,,0
13160,2017,,,,0
13160,2018,,,,0
13160,2019,,,,0
13160,2020,,,,0
13160,2021,,,,0
13160,2022,,,,0
13160,2023,,,,0
13160,2024,,,,0
13188,2001,,,,0
13188,2002,,,,0
13188,2003,,,,0
13188,2004,,,,0
13188,2005,,,,0
13188,2006,,,,0
13188,2007,,,,0
13188,2008,,,,0
13188,2009,,,,0
13188,2010,,,,0
13188,2011,,,,0
13188,2012,,,,0
13188,2013,,,,0
13188,2014,,,,0
13188,2015,,,,0
13188,2016,,,,0
13188,2017,,,,0
13188,2018,,,,0
13188,2019,,,,0
13188,2020,,,,0
13188,2021,,,,0
13188,2022,,,,0
13188,2023,,,,0
13188,2024,,,,0
13212,2001,,,,0
13212,2002,,,,0
13212,2003,,,,0
13212,2004,,,,0
13212,2005,,,,0
13212,2006,,,,0
13212,2007,,,,0
13212,2008,,,,0
13212,2009,,,,0
13212,2010,,,,0
13212,2011,,,,0
13212,2012,,,,0
13212,2013,,,,0
13212,2014,,,,0
13212,2015,,,,0
13212,2016,,,,0
13212,2017,,,,0
13212,2018,,,,0
13212,2019,,,,0
13212,2020,,,,0
13212,2021,,,,0
13212,2022,,,,0
13212,2023,,,,0
13212,2024,,,,0
13222,2001,,,,0
13222,2002,,,,0
13222,2003,,,,0
13222,2004,,,,0
13222,2005,,,,0
13222,2006,,,,0
13222,2007,,,,0
13222,2008,,,,0
13222,2009,,,,0
13222,2010,,,,0
13222,2011,,,,0
13222,2012,,,,0
13222,2013,,,,0
13222,2014,,,,0
13222,2015,,,,0
13222,2016,,,,0
13222,2017,,,,0
13222,2018,,,,0
13222,2019,,,,0
13222,2020,,,,0
13222,2021,,,,0
13222,2022,,,,0
13222,2023,,,,0
13222,2024,,,,0
13244,2001,,,,0
13244,2002,,,,0
13244,2003,,,,0
13244,2004,,,,0
13244,2005,,,,0
13244,2006,,,,0
13244,2007,,,,0
13244,2008,,,,0
13244,2009,,,,0
13244,2010,,,,0
13244,2011,,,,0
13244,2012,,,,0
13244,2013,,,,0
13244,2014,,,,0
13244,2015,,,,0
13244,2016,,,,0
13244,2017,,,,0
13244,2018,,,,0
13244,2019,,,,0
13244,2020,,,,0
13244,2021,,,,0
13244,2022,,,,0
13244,2023,,,,0
13244,2024,,,,0
13248,2001,,,,0
13248,2002,,,,0
13248,2003,,,,0
13248,2004,,,,0
13248,2005,,,,0
13248,2006,,,,0
13248,2007,,,,0
13248,2008,,,,0
13248,2009,,,,0
13248,2010,,,,0
13248,2011,,,,0
13248,2012,,,,0
13248,2013,,,,0
13248,2014,,,,0
13248,2015,,,,0
13248,2016,,,,0
13248,2017,,,,0
13248,2018,,,,0
13248,2019,,,,0
13248,2020,,,,0
13248,2021,,,,0
13248,2022,,,,0
13248,2023,,,,0
13248,2024,,,,0
13268,2001,,,,0
13268,2002,,,,0
13268,2003,,,,0
13268,2004,,,,0
13268,2005,,,,0
13268,2006,,,,0
13268,2007,,,,0
13268,2008,,,,0
13268,2009,,,,0
13268,2010,,,,0
13268,2011,,,,0
13268,2012,,,,0
13268,2013,,,,0
13268,2014,,,,0
13268,2015,,,,0
13268,2016,,,,0
13268,2017,,,,0
13268,2018,,,,0
13268,2019,,,,0
13268,2020,,,,0
13268,2021,,,,0
13268,2022,,,,0
13268,2023,,,,0
13268,2024,,,,0
13300,2001,,,,0
13300,2002,,,,0
13300,2003,,,,0
13300,2004,,,,0
13300,2005,,,,0
13300,2006,,,,0
13300,2007,,,,0
13300,2008,,,,0
13300,2009,,,,0
13300,2010,,,,0
13300,2011,,,,0
13300,2012,,,,0
13300,2013,,,,0
13300,2014,,,,0
13300,2015,,,,0
13300,2016,,,,0
13300,2017,,,,0
13300,2018,,,,0
13300,2019,,,,0
13300,2020,,,,0
13300,2021,,,,0
13300,2022,,,,0
13300,2023,,,,0
13300,2024,,,,0
13430,2001,,,,0
13430,2002,,,,0
13430,2003,,,,0
13430,2004,,,,0
13430,2005,,,,0
13430,2006,,,,0
13430,2007,,,,0
13430,2008,,,,0
13430,2009,,,,0
13430,2010,,,,0
13430,2011,,,,0
13430,2012,,,,0
13430,2013,,,,0
13430,2014,,,,0
13430,2015,,,,0
13430,2016,,,,0
13430,2017,,,,0
13430,2018,,,,0
13430,2019,,,,0
13430,2020,,,,0
13430,2021,,,,0
13430,2022,,,,0
13430,2023,,,,0
13430,2024,,,,0
13433,2001,,,,0
13433,2002,,,,0
13433,2003,,,,0
13433,2004,,,,0
13433,2005,,,,0
13433,2006,,,,0
13433,2007,,,,0
13433,2008,,,,0
13433,2009,,,,0
13433,2010,,,,0
13433,2011,,,,0
13433,2012,,,,0
13433,2013,,,,0
13433,2014,,,,0
13433,2015,,,,0
13433,2016,,,,0
13433,2017,,,,0
13433,2018,,,,0
13433,2019,,,,0
13433,2020,,,,0
13433,2021,,,,0
13433,2022,,,,0
13433,2023,,,,0
13433,2024,,,,0
13440,2001,,,,0
13440,2002,,,,0
13440,2003,,,,0
13440,2004,,,,0
13440,2005,,,,0
13440,2006,,,,0
13440,2007,,,,0
13440,2008,,,,0
13440,2009,,,,0
13440,2010,,,,0
13440,2011,,,,0
13440,2012,,,,0
13440,2013,,,,0
13440,2014,,,,0
13440,2015,,,,0
13440,2016,,,,0
13440,2017,,,,0
13440,2018,,,,0
13440,2019,,,,0
13440,2020,,,,0
13440,2021,,,,0
13440,2022,,,,0
13440,2023,,,,0
13440,2024,,,,0
13442,2001,,,,0
13442,2002,,,,0
13442,2003,,,,0
13442,2004,,,,0
13442,2005,,,,0
13442,2006,,,,0
13442,2007,,,,0
13442,2008,,,,0
13442,2009,,,,0
13442,2010,,,,0
13442,2011,,,,0
13442,2012,,,,0
13442,2013,,,,0
13442,2014,,,,0
13442,2015,,,,0
13442,2016,,,,0
13442,2017,,,,0
13442,2018,,,,0
13442,2019,,,,0
13442,2020,,,,0
13442,2021,,,,0
13442,2022,,,,0
13442,2023,,,,0
13442,2024,,,,0
13458,2001,,,,0
13458,2002,,,,0
13458,2003,,,,0
13458,2004,,,,0
13458,2005,,,,0
13458,2006,,,,0
13458,2007,,,,0
13458,2008,,,,0
13458,2009,,,,0
13458,2010,,,,0
13458,2011,,,,0
13458,2012,,,,0
13458,2013,,,,0
13458,2014,,,,0
13458,2015,,,,0
13458,2016,,,,0
13458,2017,,,,0
13458,2018,,,,0
13458,2019,,,,0
13458,2020,,,,0
13458,2021,,,,0
13458,2022,,,,0
13458,2023,,,,0
13458,2024,,,,0
13468,2001,,,,0
13468,2002,,,,0
13468,2003,,,,0
13468,2004,,,,0
13468,2005,,,,0
13468,2006,,,,0
13468,2007,,,,0
13468,2008,,,,0
13468,2009,,,,0
13468,2010,,,,0
13468,2011,,,,0
13468,2012,,,,0
13468,2013,,,,0
13468,2014,,,,0
13468,2015,,,,0
13468,2016,,,,0
13468,2017,,,,0
13468,2018,,,,0
13468,2019,,,,0
13468,2020,,,,0
13468,2021,,,,0
13468,2022,,,,0
13468,2023,,,,0
13468,2024,,,,0
13473,2001,,,,0
13473,2002,,,,0
13473,2003,,,,0
13473,2004,,,,0
13473,2005,,,,0
13473,2006,,,,0
13473,2007,,,,0
13473,2008,,,,0
13473,2009,,,,0
13473,2010,,,,0
13473,2011,,,,0
13473,2012,,,,0
13473,2013,,,,0
13473,2014,,,,0
13473,2015,,,,0
